,SPG,NNN,SLG,PTY,WELL,BXP,EPR,WPC,STOR,EXEL,GEO,VTR,HST,HTA
1/12/2014,180.3800049,38.04999924,116.3499985,18.45000076,74.51000214,129.9799957,55.72999954,68.44999695,20.35000038,1.49000001,26.73333359,82.69955444,23.15999985,25.81999969
2/12/2014,181.8500061,37.95000076,118.2699966,18.54999924,74.76999664,131.4900055,56.13999939,68.48000336,20.5,1.450000048,27.13333321,82.76807404,23.44000053,26
3/12/2014,181.6000061,37.75,118.7799988,18.51000023,74.87999725,131.0800018,56.31999969,68.63999939,20.12999916,1.5,26.95999908,82.60820007,23.57999992,25.89999962
4/12/2014,182.0500031,37.79000092,119.1299973,18.56999969,75.23999786,131.5200043,56.75,69.5,20.27000046,1.460000038,26.89333344,82.85942841,23.56999969,25.92000008
5/12/2014,180.8300018,37.83000183,119.5299988,18.5,73.98999786,131.3899994,56.43999863,69.45999908,20.29999924,1.409999967,26.7266674,81.14651489,23.54000092,25.81999969
6/12/2014,,,,,,,,,,,,,,
7/12/2014,,,,,,,,,,,,,,
8/12/2014,182.8600006,37.86000061,120.4499969,18.5,74.76999664,131.8200073,56.04999924,69.61000061,20.12000084,1.320000052,26.58666611,81.84309387,23.57999992,25.78000069
9/12/2014,182.2299957,38.13000107,122.2799988,18.37000084,75.55000305,133.1600037,56.40000153,69.80000305,20.51000023,1.389999986,26.68666649,82.65387726,23.72999954,25.84000015
10/12/2014,182.7100067,37.84999847,122.4800034,18.20999908,76.11000061,132.9900055,55.97000122,69.01000214,20.23999977,1.350000024,26.35333252,83.44181824,23.62999916,26.05999947
11/12/2014,182.8600006,38.29000092,122.2200012,18.34000015,76.37000275,131.7700043,56.25,69.41999817,20.42000008,1.399999976,26.63333321,84.12698364,23.72999954,26.10000038
12/12/2014,180.4400024,38.18999863,120.3899994,17.92000008,76.26000214,130.6499939,55.75999832,69.69000244,20.39999962,1.399999976,26.20666695,85.00627899,23.37999916,26.12000084
13/12/2014,,,,,,,,,,,,,,
14/12/2014,,,,,,,,,,,,,,
15/12/2014,180.3200073,38.09999847,119.0599976,18.02000046,75.13999939,128.9299927,54.90999985,69.51000214,20.56999969,1.360000014,25.49333382,83.04213715,23.25,25.34000015
16/12/2014,179.1499939,38.16999817,118.7200012,17.87999916,74.48000336,128.8200073,55.65999985,69.52999878,20.56999969,1.309999943,25.39999962,82.20851898,23.32999992,25.30999947
17/12/2014,182.9799957,39.25,122.2600021,17.87000084,76.34999847,131.9900055,57.22999954,70.66000366,21.19000053,1.360000014,25.62000084,83.64736938,23.86000061,25.87999916
18/12/2014,185.4700012,39.56999969,123.0999985,18.13999939,76.26000214,134.1000061,57.38000107,71.93000031,21.38999939,1.350000024,26.35333252,82.04864502,23.87999916,26
19/12/2014,183.5299988,40,121.7799988,18.38999939,76.5,133.7100067,58.11000061,71.51999664,21.05999947,1.330000043,26.38666725,82.0943222,23.89999962,26.76000023
20/12/2014,,,,,,,,,,,,,,
21/12/2014,,,,,,,,,,,,,,
22/12/2014,187.4600067,40.34000015,122.6699982,18.28000069,77.98000336,135.7700043,58.56999969,72.83999634,21.47999954,1.299999952,27.17333412,83.95569611,24.32999992,27.09000015
23/12/2014,186.3399963,40.11999893,121.9300003,18.19000053,76.68000031,136.2799988,58.5,72.54000092,21.52000046,1.299999952,27.06666756,82.92794037,24.29999924,26.98999977
24/12/2014,185.1199951,40.27000046,120.9800034,17.57999992,76.09999847,135.1799927,58.5,72.47000122,21.57999992,1.289999962,26.93333244,81.91161346,24.22999954,26.78000069
25/12/2014,,,,,,,,,,,,,,
26/12/2014,184.6300049,39.97000122,122.0400009,17.48999977,76.79000092,135.2899933,58.65999985,72.52999878,21.79999924,1.330000043,26.95999908,82.64245605,24.29000092,26.97999954
27/12/2014,,,,,,,,,,,,,,
28/12/2014,,,,,,,,,,,,,,
29/12/2014,186.5099945,40.13000107,121.5699997,17.02000046,76.62000275,130.75,59.06999969,71.80000305,21.78000069,1.350000024,27.29333305,83.07639313,24.13999939,27.12999916
30/12/2014,185.5500031,40.06000137,121.4899979,16.53000069,76.72000122,131.0200043,58.79000092,71.65000153,22.04000092,1.350000024,27.31333351,83.23626709,24.12000084,27.39999962
31/12/2014,182.1100006,39.36999893,119.0199966,15.89999962,75.66999817,128.6900024,57.63000107,70.09999847,21.61000061,1.440000057,26.9066658,81.87735748,23.77000046,26.94000053
1/01/2015,,,,,,,,,,,,,,
2/01/2015,185.3399963,39.90000153,121.3199997,16.34000015,76.94999695,131.2599945,58.63000107,70.76000214,21.43000031,1.649999976,27.08666611,83.71588135,23.80999947,27.37999916
3/01/2015,,,,,,,,,,,,,,
4/01/2015,,,,,,,,,,,,,,
5/01/2015,186.1000061,40.40999985,121.9800034,16.36000061,77.90000153,132.4499969,58.75,70.75,21.47999954,1.629999995,27.26000023,84.13840485,23.62000084,27.61000061
6/01/2015,191.2799988,41.52000046,122.9199982,16.45999908,79.01000214,135.0200043,59.20000076,70.97000122,21.20000076,1.580000043,27.12666702,86.01119232,23.52000046,28.52000046
7/01/2015,194.8000031,42.27999878,124.3399963,16.70000076,79.73999786,136.5299988,60.50999832,71.62999725,21.94000053,1.629999995,27.44666672,87.29016876,23.64999962,28.81999969
8/01/2015,194.5200043,41.65000153,124.9499969,16.42000008,79.41000366,137.0800018,60.75,71.51999664,21.95000076,1.789999962,27.5,86.86764526,23.89999962,28.79999924
9/01/2015,196.5700073,42.09000015,125.1999969,16.45999908,79.48999786,137.7700043,60.36000061,71.29000092,21.87000084,1.75999999,27.29333305,86.85623169,23.73999977,28.70000076
10/01/2015,,,,,,,,,,,,,,
11/01/2015,,,,,,,,,,,,,,
12/01/2015,196.7599945,42.38999939,127.7200012,16.23999977,80.69000244,138.3399963,61.31000137,71.88999939,22.04999924,1.649999976,27.4533329,87.86113739,23.79000092,28.62000084
13/01/2015,196.8899994,42.34000015,127.4199982,16.13999939,80.87000275,138.0399933,60.97999954,71.23000336,22.09000015,1.649999976,27.47333336,88.19230652,23.75,28.57999992
14/01/2015,198.6300049,42.72000122,128.1699982,16.03000069,81.90000153,139.6600037,61.18999863,71.75,22.76000023,1.669999957,27.34666634,88.63766479,23.71999931,28.84000015
15/01/2015,200.0700073,42.88000107,128.3099976,15.88000011,83.16999817,139.9700012,61.75999832,71.97000122,22.79999924,1.649999976,27.31999969,88.74043274,23.76000023,28.71999931
16/01/2015,200.8000031,43.68999863,128,16.13999939,84.30999756,141.0899963,62.63999939,71.98000336,23.12999916,1.659999967,27.67333412,89.07160187,23.71999931,29.21999931
17/01/2015,,,,,,,,,,,,,,
18/01/2015,,,,,,,,,,,,,,
19/01/2015,,,,,,,,,,,,,,
20/01/2015,199.6300049,43.22999954,127.75,16.20000076,83.37000275,140.5200043,62.47999954,71.90000153,22.69000053,1.730000019,27.68000031,89.9965744,23.69000053,29.11000061
21/01/2015,200.2200012,43.40999985,127.7200012,16.37000084,82.43000031,140.5200043,63,71.65000153,22.44000053,1.639999986,27.5933342,89.45986176,23.61000061,29
22/01/2015,204.0299988,43.79999924,128.6399994,16.53000069,82.98999786,143.1600037,64.62999725,73,22.90999985,1.620000005,28.55999947,91.4240036,24.11000061,29.43000031
23/01/2015,203.1100006,43.79000092,128.5099945,16.68000031,83.23000336,142.6699982,64.36000061,72.76999664,22.96999931,1.629999995,28.44000053,91.84651947,24.12999916,29.47999954
24/01/2015,,,,,,,,,,,,,,
25/01/2015,,,,,,,,,,,,,,
